filename,gender,speaker,gradelevel,sentence,modification,intensity,f0,f1,f2,f3,snr,spr,score,accuracy,insertion,deletion,substitution,words
FADF1CG2,F,ADF,1,CG,2,60.21,238.54,1257.64,2978.27,4236.43,16.4295,4.096386,6.35,0.56,0,1,5,9
FADF1CH2,F,ADF,1,CH,2,61.83,241.38,1324.26,3033.58,4210.24,7.6219,4.977376,5.73,0.63,0,1,2,8
FADF1CI2,F,ADF,1,CI,2,60.89,240.96,1452.35,2978.3,4348.28,5.586,5.722892,6.49,0.57,0,1,2,7
FADF1CJ2,F,ADF,1,CJ,2,59.65,236.94,1380.64,2978.45,4313.63,15.2477,3.351206,5.69,0.62,0,1,4,13
FADF1CK2,F,ADF,1,CK,2,57.52,240.27,1427.53,2970.71,4277.46,17.4588,2.140221,4.88,0.38,1,3,6,13
FADF1CL2,F,ADF,1,CL,2,60.69,224.16,1208.36,2849.6,4180.59,15.7648,1.942646,1,0.5,3,1,4,12
FADF1CM2,F,ADF,1,CM,2,57.01,230.05,1439.05,2956.62,4217.07,10.1015,4.032258,6.78,0.29,0,3,2,7
FADF1CN2,F,ADF,1,CN,2,61.8,225.85,1104.02,2725.18,4084.28,15.4791,7.361963,5.68,0.69,0,4,3,16
FADF1CO2,F,ADF,1,CO,2,60.14,251.97,1219.7,2865.67,4235.86,6.2842,7.373272,6.77,0.73,0,2,1,11
FADF1CP2,F,ADF,1,CP,2,59.62,235.33,1227.87,2858.75,4337.51,0.3439,5.444646,5.98,0.71,0,2,4,14
FADF1CQ2,F,ADF,1,CQ,2,63.58,243.46,1040.87,2856.52,4231,8.7082,7.860262,5.98,0.83,0,2,1,12
FADF1CR2,F,ADF,1,CR,2,60.42,221.77,1037.95,2669.5,4111.8,-2.7904,6.609195,6.22,0.43,0,1,3,7
FADF1CS2,F,ADF,1,CS,2,61.4,225.86,1265.83,2835.83,4175.64,12.2748,5.555556,5.72,0.6,0,2,6,15
FADF1CT2,F,ADF,1,CT,2,60.18,238.14,1152.53,2720.69,4158.76,3.0343,5.633803,4.65,0.4,0,4,3,10
FADF1CU2,F,ADF,1,CU,2,59.83,244.37,1538.2,2943.39,4249.59,10.5166,1.428571,7.15,0.63,3,1,2,8
FAHJ1AA2,F,AHJ,1,AA,2,64.88,241.88,1209.16,2841.81,4454.2,5.5701,5.200946,6.27,0.67,0,2,1,9
FAHJ1AB2,F,AHJ,1,AB,2,61.05,241.26,1272.8,2912.74,4404.76,-1.6627,3.448276,6.45,0.57,0,1,2,7
FAHJ1AC2,F,AHJ,1,AC,2,64.06,243.16,1712.99,2880.61,4525.93,2.6753,2.531646,6.57,0.15,0,8,3,13
FAHJ1AD2,F,AHJ,1,AD,2,61.26,254.04,1407.01,2751.12,4217.69,2.2884,2.340426,7.49,0.6,0,1,1,5
FAHJ1AE2,F,AHJ,1,AE,2,64.79,233.46,1582.17,3031.3,4413.08,7.5037,5.970149,7.09,0.71,0,1,1,7
FAHJ1AF2,F,AHJ,1,AF,2,66.12,247.39,1426.27,2858.26,4314.14,0.2958,5.025126,7.49,0.5,0,2,1,6
FAHJ1AG2,F,AHJ,1,AG,2,65.88,245.97,1509.87,2983.17,4421.13,12.9605,4.911839,6.7,0.68,0,4,2,19
FAHJ1AH2,F,AHJ,1,AH,2,65.89,233.85,1325.68,2923.94,4427.2,6.0598,4.878049,5.7,0.4,0,3,0,5
FAHJ1AI2,F,AHJ,1,AI,2,67.63,254.32,1343,2897.81,4405.39,8.9986,5.681818,6.92,0.5,0,2,1,6
FAHJ1AJ2,F,AHJ,1,AJ,2,67.54,250.71,1593.17,2820.6,4274.13,9.7522,7.20339,6.81,0.71,0,2,0,7
FAHJ1AK2,F,AHJ,1,AK,2,67.09,256.11,1568.01,2902.16,4431.25,5.2935,5.172414,7.37,0.63,0,2,1,8
FAHJ1AL2,F,AHJ,1,AL,2,65.14,252.9,1607.84,2978.64,4503.67,22.1527,4.061896,6.04,0.44,0,7,2,16
FAHJ1AM2,F,AHJ,1,AM,2,67.03,244.19,1431.74,2834.39,4418.66,10.52,7.051282,6.61,0.38,0,2,3,8
FAHJ1AN2,F,AHJ,1,AN,2,62.61,241.21,1638.21,3099.78,4543.61,20.3418,1.265823,6.23,0.3,1,1,4,10
FAHJ1AO2,F,AHJ,1,AO,2,68.89,245.76,1402.48,2863.09,4485.8,13.2132,5.424528,6.6,0.56,0,6,1,16
FAHJ1AP2,F,AHJ,1,AP,2,65.16,244.4,1443.25,2868.94,4476.79,8.9841,7.407407,6.5,0.11,0,3,4,9
FAHJ1AQ2,F,AHJ,1,AQ,2,64.23,251.88,1495.05,3006.82,4532.75,-2.3978,4.146341,5.37,0.67,0,2,1,9
FAHJ1AR2,F,AHJ,1,AR,2,65.59,241.4,1318.21,2892.44,4479.26,13.4212,3.856041,5.72,0.56,0,2,3,9
FAHJ1AS2,F,AHJ,1,AS,2,63.59,247.75,1729.73,3146.86,4569.08,6.9901,4.046243,6.28,0.69,0,3,3,13
FAHJ1AT2,F,AHJ,1,AT,2,67.8,259.32,1359.63,2865.62,4480.2,9.4661,4.43038,7.02,0.75,0,2,0,8
FAHJ1AU2,F,AHJ,1,AU,2,66.43,263.05,1420.59,2995.18,4490.04,11.6742,5.474453,5.74,0.75,0,1,2,12
FAHJ1AV2,F,AHJ,1,AV,2,67.11,252.92,1474.78,3055.87,4510.87,9.9679,6.080207,6.6,0.46,0,12,3,28
FAHJ1AW2,F,AHJ,1,AW,2,66.29,250.49,1378.3,2734.72,4368.4,8.2668,7.509881,6.64,0.57,0,2,1,7
FAHJ1AX2,F,AHJ,1,AX,2,62.46,235.3,1120.24,2804.96,4601.22,-40,0,6.6,0,0,1,2,3
FAHJ1AY2,F,AHJ,1,AY,2,66.82,247.41,1441.52,2932.69,4556.87,6.8927,7.900677,7.65,0.82,0,1,1,11
FAHJ1AZ2,F,AHJ,1,AZ,2,63.95,234.19,1730.81,3096.07,4619.05,13.7488,3.118503,7,0.64,0,3,3,11
